,Institution,Subject,Degree_type_and_admission_semester,Accept_or_reject,Method_of_communication,Date,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,Student_classification,Date_posted,Comments,American,Papers,Research,Decision
0,Northwestern University,Physics,PhD (F19),Accepted, E-mail,29 Mar 2019,3.77,154.0,167.0,3.0,880.0,U,29 Mar 2019,Finally,0,0.0,0.0,1
1,"University Of California, Riverside",Physics,PhD (F19),Rejected, E-mail,29 Mar 2019,3.63,156.0,163.0,4.0,570.0,A,29 Mar 2019,TTPB: lol I emailed the same person you did just now and within 5 minutes received the exact same reply,1,0.0,0.0,0
2,"University Of California, Riverside",Physics,PhD (F19),Rejected, E-mail,28 Mar 2019,3.2,158.0,159.0,4.0,610.0,A,28 Mar 2019,"3 internships, 1 publication, MS degree in physics",1,1.0,0.0,0
3,Iowa State University,Physics,PhD (F19),Rejected, E-mail,27 Mar 2019,3.58,159.0,160.0,4.0,610.0,A,27 Mar 2019,"CMT, one 1st author pub in Phys. Rev. B, 3 yrs research with prof, good LORs, teaching exp, the GPA is a Masters.",1,1.0,1.0,0
4,University Of New Mexico,Physics,PhD (F19),Rejected, E-mail,27 Mar 2019,3.1,162.0,163.0,3.0,880.0,I,27 Mar 2019,,0,0.0,0.0,0
5,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Rejected, E-mail,26 Mar 2019,3.94,164.0,163.0,5.0,750.0,A,26 Mar 2019,"To the poster below, what is an ""SIR""?",1,0.0,0.0,0
6,University Of Illinois,Physics,PhD (F19),Rejected, E-mail,26 Mar 2019,3.97,159.0,168.0,4.0,950.0,A,26 Mar 2019,Applied for CMT. 1 REU and 2.5 years research but with no publications.,1,0.0,1.0,0
7,UIUC,Physics,PhD (F19),Rejected, E-mail,26 Mar 2019,3.9,159.0,168.0,4.0,970.0,I,26 Mar 2019,Good thing life is temporary. ):,0,0.0,0.0,0
8,University Of Pennsylvania,Physics,PhD (F19),Rejected, E-mail,26 Mar 2019,3.9,162.0,162.0,4.0,850.0,A,26 Mar 2019,"Applied for hep-th. ""I trust that you have been, or soon will be, admitted elsewhere to a university of your choice"" Thanks, but I haven't been accepted anywhere.",1,0.0,0.0,0
9,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Rejected, E-mail,26 Mar 2019,3.93,158.0,170.0,4.0,980.0,I,26 Mar 2019,,0,0.0,0.0,0
10,"University Of Californa, Los Angeles (UCLA)",Physics,PhD (F19),Rejected, Website,26 Mar 2019,3.34,159.0,170.0,4.5,990.0,I,26 Mar 2019,'Thank you for applying to graduate study at UCLA. We regret to inform you that you are not being offered admission.' | HET | Top Indian University | Stats as mentioned | 1 pre-print in Cosmo | 9 months full-time research + 6 months part-time.,0,0.0,1.0,0
12,Colorado State University - Fort Collins,Physics,PhD (F19),Wait listed, E-mail,25 Mar 2019,3.58,159.0,160.0,4.0,610.0,A,25 Mar 2019,"CMT, 3 yrs research with prof, teaching exp., GPA is Masters degree. One 1st author paper. This is depressing.",1,1.0,1.0,0
13,University Of Texas At Austin,Physics,PhD (F19),Accepted, E-mail,25 Mar 2019,3.71,161.0,167.0,4.5,980.0,I,25 Mar 2019,"HEP-TH 
So happy!",0,0.0,0.0,1
